frame,vehicle_type
frame_2490.jpg,car
frame_2490.jpg,person
frame_2490.jpg,car
frame_2490.jpg,motorcycle
frame_2490.jpg,car
frame_2490.jpg,person
frame_2490.jpg,traffic light
frame_2490.jpg,truck
frame_2490.jpg,person
frame_2490.jpg,person
frame_2490.jpg,car
frame_2490.jpg,person
frame_2520.jpg,car
frame_2520.jpg,person
frame_2520.jpg,person
frame_2520.jpg,person
frame_2520.jpg,person
frame_2520.jpg,traffic light
frame_2520.jpg,car
frame_2520.jpg,truck
frame_2520.jpg,truck
frame_2520.jpg,suitcase
frame_2520.jpg,car
frame_2520.jpg,person
frame_2520.jpg,traffic light
frame_2520.jpg,car
frame_2520.jpg,car
frame_2520.jpg,car
frame_2520.jpg,truck
frame_2520.jpg,person
frame_2520.jpg,person
frame_2550.jpg,person
frame_2550.jpg,person
frame_2550.jpg,truck
frame_2550.jpg,car
frame_2550.jpg,person
frame_2550.jpg,traffic light
frame_2550.jpg,car
frame_2550.jpg,person
frame_2550.jpg,traffic light
frame_2550.jpg,person
frame_2550.jpg,person
frame_2550.jpg,person
frame_2550.jpg,car
frame_2550.jpg,person
frame_2550.jpg,car
frame_2550.jpg,person
frame_2550.jpg,car
frame_2550.jpg,car
frame_2580.jpg,car
frame_2580.jpg,person
frame_2580.jpg,person
frame_2580.jpg,person
frame_2580.jpg,car
frame_2580.jpg,person
frame_2580.jpg,person
frame_2580.jpg,motorcycle
frame_2580.jpg,traffic light
frame_2580.jpg,car
frame_2580.jpg,bus
frame_2580.jpg,person
frame_2580.jpg,person
frame_2580.jpg,car
frame_2580.jpg,person
frame_2580.jpg,car
frame_2580.jpg,person
frame_2580.jpg,car
frame_2580.jpg,truck
frame_2580.jpg,car
frame_2580.jpg,car
frame_2610.jpg,person
frame_2610.jpg,person
frame_2610.jpg,traffic light
frame_2610.jpg,car
frame_2610.jpg,truck
frame_2610.jpg,person
frame_2610.jpg,car
frame_2610.jpg,car
frame_2610.jpg,car
frame_2610.jpg,traffic light
frame_2610.jpg,truck
frame_2610.jpg,person
frame_2610.jpg,person
frame_2610.jpg,traffic light
frame_2610.jpg,person
frame_2610.jpg,car
frame_2610.jpg,person
frame_2610.jpg,person
frame_2610.jpg,person
frame_2640.jpg,car
frame_2640.jpg,truck
frame_2640.jpg,car
frame_2640.jpg,truck
frame_2640.jpg,car
frame_2640.jpg,traffic light
frame_2640.jpg,car
frame_2640.jpg,car
frame_2640.jpg,car
frame_2640.jpg,car
frame_2640.jpg,person
frame_2640.jpg,person
frame_2640.jpg,traffic light
frame_2640.jpg,person
frame_2640.jpg,car
frame_2640.jpg,car
frame_2640.jpg,person
frame_2670.jpg,bus
frame_2670.jpg,person
frame_2670.jpg,bus
frame_2670.jpg,car
frame_2670.jpg,person
frame_2670.jpg,truck
frame_2670.jpg,truck
frame_2670.jpg,car
frame_2670.jpg,traffic light
frame_2670.jpg,car
frame_2670.jpg,car
frame_2670.jpg,person
frame_2670.jpg,car
frame_2670.jpg,person
frame_2670.jpg,car
frame_2670.jpg,car
frame_2670.jpg,truck
frame_2670.jpg,person
frame_270.jpg,car
frame_270.jpg,traffic light
frame_270.jpg,truck
frame_270.jpg,bus
frame_270.jpg,motorcycle
